note,tags,folder,current_folder,ai_suggested_folder,url
GirlsSetups Facebook page highlights gaming setups for girls.,"aesthetics,home,wishlist",home,games,Suggest new folder: Gaming,https://www.facebook.com/GirlsSetups
Reading patterns in stars and design via Established Magazine.,"academia,art,design,space",space,reading,Design,https://www.instagram.com/p/CFH1SxNJvAX?igshid=ZTlkMDEyOTY=
Instagram showcasing period drama and classic literature appreciation.,literature,literature,literature,Photography,https://www.instagram.com/p/CnoM6CVKzfi?igshid=MDJmNzVkMjY=
Wively Malaysia shares advice on listening to women.,"boyfriend goals,feminism,kdrama,masculinity",masculinity,profiling,Celebrity Lore,https://www.instagram.com/reel/C4kU0xZyt3F?igsh=MTdwbmV4YWFqczc4
"Haikyuu dancing video edit featuring Sugawara, source: TikTok.","anime,dance,edits",edits,dance trends,Dance,https://www.instagram.com/reel/COTZHutqXqv?igshid=ZDhmZGIxNmQ=
An artistic take on zodiac signs by Little Paper Forest.,"art,art tutorials,business",art tutorials,art tutorials,Art,https://www.facebook.com/509267292452292/posts/4977846928927617?d=n
A guide to the perfect high school graduation gifts for her to celebrate her achievement.,gifts,gifts,gifts,Parenting,https://www.society19.com/high-school-graduation-gifts-for-her-you-should-give
Aesthetic visuals from Aliya Fatima's Instagram profile.,"femininity,literature",femininity,visuals,Fashion,https://www.instagram.com/reel/C9VBS-aIawG?igsh=MW03YTY0cjMza2c0NQ==
Experience Ableton Live's 90-day free trial and learn its music production features.,"music,reading",music,music,Music,https://www.levelsmusicproduction.com/blog/what-is-the-ableton-live-90-day-free-trial
2 black koreans use their n-word pass hilariously,"funny,kpop",k-pop,about me,Content Creation,https://www.instagram.com/reel/CoL53jWu2rB?igshid=ZTlkMDEyOTY=
broken link,delete,delete,social skills,Content Creation,https://www.instagram.com/reel/CddZoChImyc?igshid=ZDhmZGIxNmQ=
broken link,delete,delete,aesthetics,Link-Only,https://www.instagram.com/reel/CQEcoiTn8HY?igshid=MDJmNzVkMjY=
white dotd makeup gets more tips,beauty,beauty,visuals,Beauty,https://www.instagram.com/reel/C4v9qZsOEuv?igsh=Zmt0cXlpbmU5bTZx
broken link,delete,delete,musician precedents,Content Creation,https://www.facebook.com/reel/1404194307128725
broken link,delete,delete,musician precedents,Content Creation,https://www.facebook.com/reel/1752811791889194
Crafting the perfect engagement ring.,"fashion,jewellery,rings",fashion,wedding,Jewellery,https://www.facebook.com/watch?ref=saved&v=819792209123230
Caroline shares “most important things i own” joy from simple things and moodboards on Instagram.,"content creation,content idea,moodboards",mood aesthetics,celebrity lore,Celebrity Lore,https://www.instagram.com/p/B7TyiEVHhHY?igshid=ZTlkMDEyOTY=
Borammyart transforms Levi Ackerman into a kpop idol with glam fanart featuring earrings and eyeliner.,"anime,art,business,kpop",art tutorials,art appreciation,Art Tutorial,https://www.instagram.com/reel/CLPYkzZJpBy?igshid=MDJmNzVkMjY=
Francesca shares psychology tricks on TikTok.,"communication,skills,social",social skills,profiling,Content Creation,https://fb.watch/bnLqTa9Wu-
Addressing map distortions due to Mercator's outdated cartographic projection.,"culture,history,politics",politics,productivity systems,Education,https://www.instagram.com/p/CbeqVQJKcp-?igshid=MDJmNzVkMjY=
Insights on communication from a 50-episode series.,"communication,social",social skills,social skills,Suggestion: Personal Growth,https://www.instagram.com/reel/C7X1g3ZPDm8?igsh=MTVyazRleWQ2bDV5MA==
Exploring the remote glacier regions of Tibet through Padma's diary.,"bucket list,nature,travel locations",bucket list,history,Travel Locations,https://m.facebook.com/story.php?id=100077298116984&story_fbid=pfbid0eAW2rXvPY65DhUdWWK8LoeK8vnPfKmiVoHTAmiS2TPr4KqGerJ4ynzCLSb9NZSjnl
Watch a pixel art transformation of Moon Knight.,art tutorials,art tutorials,art appreciation,Animation,https://m.facebook.com/story.php?id=100001135591786&story_fbid=pfbid0iryZAbwyanpRr9BszXDW4dCskNWrSDhxeJMbfuZSNE8dtxGVLgSVSzFsPswpSf73l
swimming through bioluminescent water,"bucket list,events,nature,travel",bucket list,mindset,Photography,https://www.instagram.com/reel/CvAUzHjgADN?igsh=MTc4MmM1YmI2Ng==
broken link,delete,delete,videos to recreate,K-drama,https://www.instagram.com/reel/Cn6s7XrJ-GQ?igshid=MDJmNzVkMjY=
broken link,delete,delete,positioning,Content Creation,https://www.instagram.com/reel/CRCVixeHNlu?igshid=MDJmNzVkMjY=
broken link,delete,delete,positioning,Content Creation,https://www.instagram.com/reel/CmE_4ITvPFv?igshid=MDJmNzVkMjY=
Coco Chanel and Salvador Dal� sharing a smoke in 1938 photo.,"history,photography",history,celebrity lore,Celebrity Lore,https://www.instagram.com/p/Bv9tj9qHOih?igshid=ZTlkMDEyOTY=
broken link,delete,delete,visuals,Content Creation,https://www.instagram.com/reel/CoNQPgVIYXT?igshid=ZTlkMDEyOTY=
broken link,delete,delete,design,Academia,https://info.lewagon.com/web-development-course-cpt2
death painted in white textpost,"art,history,literature,philosophy,textposts",literature,art appreciation,Content Creation,https://www.instagram.com/p/B0WKyyvn2xj?igshid=ZTlkMDEyOTY=
hongjoong described as  'shorty in blue.',"ateez,funny,kim hongjoong,kpop,lgbt",k-pop/ateez,gifts,Suggest a new one: Anniversaries,https://x.com/yeodior/status/1768691829170389349?s=12
"""How to Save a Life"" by The Fray, a classic emotional rock track from 2005.",music,music,musician precedents,Music,https://www.youtube.com/watch?v=ae7AACP1-R0
when her wig fell off in an interview and she dropped the most elegant n word,"funny,iconic,stims",culture,visuals,Beauty,https://www.instagram.com/reel/Ck8mt3lr9ZE?igshid=MDJmNzVkMjY=
